?x	?xl
<http://purl.obolibrary.org/obo/ECO_0006141>	"quantum mechanics simulation evidence"
<http://purl.obolibrary.org/obo/ECO_0000312>	"imported information used in manual assertion"
<http://purl.obolibrary.org/obo/ECO_0007647>	"curator inference from authoritative source"
<http://purl.obolibrary.org/obo/ECO_0005610>	"biological system reconstruction evidence based on homology evidence used in manual assertion"
<http://purl.obolibrary.org/obo/ECO_0000330>	"coding sequence splice pattern evidence used in manual assertion"
<http://purl.obolibrary.org/obo/ECO_0000263>	"transmembrane domain prediction evidence used in automatic assertion"
<http://purl.obolibrary.org/obo/ECO_0007480>	"biological system reconstruction evidence by experimental evidence from mixed species used in automatic assertion"
<http://purl.obolibrary.org/obo/ECO_0000035>	"no evidence data found"
<http://purl.obolibrary.org/obo/ECO_0007763>	"curator inference from Merriam-Webster Dictionary used in manual assertion"
<http://purl.obolibrary.org/obo/ECO_0007256>	"single exon transcript confirmation via alignment evidence used in automatic assertion"
<http://purl.obolibrary.org/obo/ECO_0007665>	"automatically integrated combinatorial computational and experimental evidence"
<http://purl.obolibrary.org/obo/ECO_0006139>	"molecular mechanics simulation evidence used in automatic assertion"
<http://purl.obolibrary.org/obo/ECO_0000214>	"biological aspect of descendant evidence"
<http://purl.obolibrary.org/obo/ECO_0006016>	"author statement from published clinical study"
<http://purl.obolibrary.org/obo/ECO_0007753>	"curator inference from encyclopedia used in manual assertion"
<http://purl.obolibrary.org/obo/ECO_0007012>	"combinatorial experimental and curator inference evidence"
<http://purl.obolibrary.org/obo/ECO_0007201>	"developmental similarity evidence used in automatic assertion"
<http://purl.obolibrary.org/obo/ECO_0007198>	"positional similarity evidence used in automatic assertion"
<http://purl.obolibrary.org/obo/ECO_0007759>	"curator inference from database used in manual assertion"
<http://purl.obolibrary.org/obo/ECO_0000302>	"author statement used in manual assertion"
<http://purl.obolibrary.org/obo/ECO_0007841>	"curator inference from Merriam-Webster Dictionary used in automatic assertion"
<http://purl.obolibrary.org/obo/ECO_0005532>	"consensus search evidence"
<http://purl.obolibrary.org/obo/ECO_0000308>	"biological aspect of ancestor evidence"
<http://purl.obolibrary.org/obo/ECO_0000060>	"positional similarity evidence"
<http://purl.obolibrary.org/obo/ECO_0000322>	"imported manually asserted information used in automatic assertion"
<http://purl.obolibrary.org/obo/ECO_0007650>	"manually integrated combinatorial computational evidence used in automatic assertion"
<http://purl.obolibrary.org/obo/ECO_0007826>	"phylogenetic evidence used in automatic assertion"
<http://purl.obolibrary.org/obo/ECO_0007656>	"manually integrated combinatorial experimental evidence used in manual assertion"
<http://purl.obolibrary.org/obo/ECO_0007014>	"combinatorial experimental and curator inference evidence used in manual assertion"
<http://purl.obolibrary.org/obo/ECO_0006142>	"quantum mechanics simulation evidence used in automatic assertion"
<http://purl.obolibrary.org/obo/ECO_0000205>	"curator inference"
<http://purl.obolibrary.org/obo/ECO_0000313>	"imported information used in automatic assertion"
<http://purl.obolibrary.org/obo/ECO_0007744>	"combinatorial computational and experimental evidence used in manual assertion"
<http://purl.obolibrary.org/obo/ECO_0000057>	"phenotypic similarity evidence"
<http://purl.obolibrary.org/obo/ECO_0007676>	"manually integrated combinatorial evidence used in automatic assertion"
<http://purl.obolibrary.org/obo/ECO_0000319>	"biological aspect of descendant evidence used in manual assertion"
<http://purl.obolibrary.org/obo/ECO_0000331>	"coding sequence splice pattern evidence used in automatic assertion"
<http://purl.obolibrary.org/obo/ECO_0000080>	"phylogenetic evidence"
<http://purl.obolibrary.org/obo/ECO_0007257>	"phylogenetic distribution evidence used in automatic assertion"
<http://purl.obolibrary.org/obo/ECO_0006160>	"self-reported patient statement evidence used in automatic assertion"
<http://purl.obolibrary.org/obo/ECO_0007481>	"biological system reconstruction evidence based on orthology evidence used in automatic assertion"
<http://purl.obolibrary.org/obo/ECO_0005658>	"position-specific scoring matrix motif search evidence used in manual assertion"
<http://purl.obolibrary.org/obo/ECO_0000030>	"BLAST evidence used in manual assertion"
<http://purl.obolibrary.org/obo/ECO_0005543>	"biological system reconstruction evidence by experimental evidence from mixed species used in manual assertion"
<http://purl.obolibrary.org/obo/ECO_0000071>	"morphological similarity evidence"
<http://purl.obolibrary.org/obo/ECO_0007660>	"automatically integrated combinatorial experimental evidence used in automatic assertion"
<http://purl.obolibrary.org/obo/ECO_0000215>	"rapid divergence from ancestral sequence evidence"
<http://purl.obolibrary.org/obo/ECO_0007202>	"morphological similarity evidence used in automatic assertion"
<http://purl.obolibrary.org/obo/ECO_0006017>	"author statement from published clinical study used in manual assertion"
<http://purl.obolibrary.org/obo/ECO_0007666>	"automatically integrated combinatorial computational and experimental evidence used in manual assertion"
<http://purl.obolibrary.org/obo/ECO_0000329>	"whole transcript splice pattern evidence used in manual assertion"
<http://purl.obolibrary.org/obo/ECO_0000303>	"author statement without traceable support used in manual assertion"
<http://purl.obolibrary.org/obo/ECO_0005533>	"phylogenetic footprinting evidence"
<http://purl.obolibrary.org/obo/ECO_0007754>	"curator inference from Wikipedia used in manual assertion"
<http://purl.obolibrary.org/obo/ECO_0006151>	"documented statement evidence"
<http://purl.obolibrary.org/obo/ECO_0007013>	"combinatorial experimental and author inference evidence used in manual assertion"
<http://purl.obolibrary.org/obo/ECO_0000067>	"developmental similarity evidence"
<http://purl.obolibrary.org/obo/ECO_0000323>	"imported automatically asserted information used in automatic assertion"
<http://purl.obolibrary.org/obo/ECO_0007657>	"manually integrated combinatorial experimental evidence used in automatic assertion"
<http://purl.obolibrary.org/obo/ECO_0006055>	"high throughput evidence"
<http://purl.obolibrary.org/obo/ECO_0007827>	"biological system reconstruction evidence used in automatic assertion"
<http://purl.obolibrary.org/obo/ECO_0005662>	"regular expression motif search evidence used in manual assertion"
<http://purl.obolibrary.org/obo/ECO_0000177>	"genomic context evidence"
<http://purl.obolibrary.org/obo/ECO_0007651>	"automatically integrated combinatorial computational evidence"
<http://purl.obolibrary.org/obo/ECO_0000206>	"BLAST evidence"
<http://purl.obolibrary.org/obo/ECO_0007636>	"curator inference from database"
<http://purl.obolibrary.org/obo/ECO_0000252>	"similarity evidence used in manual assertion"
<http://purl.obolibrary.org/obo/ECO_0000081>	"targeting sequence prediction evidence"
<http://purl.obolibrary.org/obo/ECO_0006143>	"quantum mechanics simulation evidence used in manual assertion"
<http://purl.obolibrary.org/obo/ECO_0000332>	"whole transcript splice pattern evidence used in automatic assertion"
<http://purl.obolibrary.org/obo/ECO_0005659>	"position-specific scoring matrix motif search evidence used in automatic assertion"
<http://purl.obolibrary.org/obo/ECO_0006161>	"medical practitioner statement evidence used in manual assertion"
<http://purl.obolibrary.org/obo/ECO_0007677>	"combinatorial computational evidence"
<http://purl.obolibrary.org/obo/ECO_0000031>	"protein BLAST evidence used in manual assertion"
<http://purl.obolibrary.org/obo/ECO_0007482>	"biological system reconstruction evidence based on homology evidence used in automatic assertion"
<http://purl.obolibrary.org/obo/ECO_0005544>	"biological system reconstruction evidence based on orthology evidence used in manual assertion"
<http://purl.obolibrary.org/obo/ECO_0007661>	"combinatorial computational and experimental evidence"
<http://purl.obolibrary.org/obo/ECO_0007203>	"gene expression similarity evidence used in automatic assertion"
<http://purl.obolibrary.org/obo/ECO_0007830>	"combinatorial experimental evidence used in automatic assertion"
<http://purl.obolibrary.org/obo/ECO_0006135>	"quantum mechanics/molecular mechanics simulation evidence"
<http://purl.obolibrary.org/obo/ECO_0007667>	"automatically integrated combinatorial computational and experimental evidence used in automatic assertion"
<http://purl.obolibrary.org/obo/ECO_0000352>	"evidence used in manual assertion"
<http://purl.obolibrary.org/obo/ECO_0000027>	"structural similarity evidence"
<http://purl.obolibrary.org/obo/ECO_0005534>	"comparative genomics motif search evidence"
<http://purl.obolibrary.org/obo/ECO_0000216>	"phylogenetic determination of loss of key residues evidence"
<http://purl.obolibrary.org/obo/ECO_0007755>	"curator inference from MedlinePlus encyclopedia used in manual assertion"
<http://purl.obolibrary.org/obo/ECO_0006152>	"medical practitioner statement evidence"
<http://purl.obolibrary.org/obo/ECO_0005622>	"comparative genomics motif search evidence used in manual assertion"
<http://purl.obolibrary.org/obo/ECO_0007658>	"automatically integrated combinatorial experimental evidence"
<http://purl.obolibrary.org/obo/ECO_0000304>	"author statement supported by traceable reference used in manual assertion"
<http://purl.obolibrary.org/obo/ECO_0007640>	"curator inference from MedlinePlus encyclopedia"
<http://purl.obolibrary.org/obo/ECO_0005663>	"regular expression motif search evidence used in automatic assertion"
<http://purl.obolibrary.org/obo/ECO_0000207>	"nucleotide BLAST evidence"
<http://purl.obolibrary.org/obo/ECO_0000000>	"evidence"
<http://purl.obolibrary.org/obo/ECO_0000041>	"similarity evidence"
<http://purl.obolibrary.org/obo/ECO_0006056>	"high throughput evidence used in manual assertion"
<http://purl.obolibrary.org/obo/ECO_0000253>	"genetic similarity evidence used in manual assertion"
<http://purl.obolibrary.org/obo/ECO_0007828>	"biological system reconstruction evidence by experimental evidence used in automatic assertion"
<http://purl.obolibrary.org/obo/ECO_0000361>	"inferential evidence"
<http://purl.obolibrary.org/obo/ECO_0007631>	"computational inference used in manual assertion"
<http://purl.obolibrary.org/obo/ECO_0007637>	"curator inference from encyclopedia"
<http://purl.obolibrary.org/obo/ECO_0007672>	"computational evidence"
<http://purl.obolibrary.org/obo/ECO_0000088>	"biological system reconstruction evidence"
<http://purl.obolibrary.org/obo/ECO_0007678>	"combinatorial computational evidence used in manual assertion"
<http://purl.obolibrary.org/obo/ECO_0006144>	"density functional theory simulation evidence"
<http://purl.obolibrary.org/obo/ECO_0007760>	"curator inference from dictionary used in manual assertion"
<http://purl.obolibrary.org/obo/ECO_0005545>	"biological system reconstruction evidence based on orthology evidence"
<http://purl.obolibrary.org/obo/ECO_0006162>	"medical practitioner statement evidence used in automatic assertion"
<http://purl.obolibrary.org/obo/ECO_0007483>	"biological system reconstruction evidence based on paralogy evidence used in automatic assertion"
